id,title,synopsis,genres,release_date,episodes,members,popularity,ranked,score,img_url,link
30015,ReLIFE,Dismissed as a hopeless loser by those around him 27-year-old Arata Kaizaki bounces around from one job to another after quitting his first company. His unremarkable existence takes a sharp turn when he meets Ryou Yoake a member of the ReLife Research Institute who offers Arata the opportunity to change his life for the better with the help of a mysterious pill. Taking it without a second thought Arata awakens the next day to find that his appearance has reverted to that of a 17-year-old. Arata soon learns that he is now the subject of a unique experiment and must attend high school as a transfer student for one year. Though he initially believes it will be a cinch due to his superior life experience Arata is proven horribly wrong on his first day: he flunks all his tests is completely out of shape and can't keep up with the new school policies that have cropped up in the last 10 years. Furthermore Ryou has been assigned to observe him bringing Arata endless annoyance. ReLIFE follows Arata's struggle to adjust to his hectic new lifestyle and avoid repeating his past mistakes all while slowly discovering more about his fellow classmates.,Slice of Life;Romance;School,2016-07-02,13,533921,116,447,8.1,https://cdn.myanimelist.net/images/anime/3/82149.jpg,https://myanimelist.net/anime/30015/ReLIFE
889,Black Lagoon,Within Thailand is Roanapur a depraved crime-ridden city where not even the authorities or churches are untouched by the claws of corruption. A haven for convicts and degenerates alike the city is notorious for being the center of illegal activities and operations often fueled by local crime syndicates. Enter Rokurou Okajima an average Japanese businessman who has been living a dull and monotonous life when he finally gets his chance for a change of pace with a delivery trip to Southeast Asia. His business trip swiftly goes downhill as Rokurou is captured by a mercenary group operating in Roanapur called Black Lagoon. The group plans to use him as a bargaining chip in negotiations which ultimately failed. Now abandoned and betrayed by his former employer Rokurou decides to join Black Lagoon. In order to survive he must quickly adapt to his new environment and prepare himself for the bloodshed and tribulation to come. A non-stop high-octane thriller Black Lagoon delves into the depths of human morality and virtue. Witness Rokurou struggling to keep his values and philosophies intact as he slowly transforms from businessman to ruthless mercenary.,Action;Seinen,2006-04-09,12,553392,111,440,8.1,https://cdn.myanimelist.net/images/anime/4/25596.jpg,https://myanimelist.net/anime/889/Black_Lagoon
2034,Lovely★Complex,Love is unusual for Koizumi Risa and Ootani Atsushi who are both striving to find their ideal partner in high school—172 cm tall Koizumi is much taller than the average girl and Ootani is much shorter than the average guy at 156 cm. To add to their plights their crushes fall in love with each other leaving Koizumi and Ootani comically flustered and heartbroken. To make matters worse they're even labeled as a comedy duo by their homeroom teacher due to their personalities and the stark difference in their heights and their classmates even think of their arguments as sketches. Lovely★Complex follows Koizumi and Ootani as they encourage each other in finding love and become close friends. Apart from their ridiculous antics they soon find out an unexpected similarity in their music and fashion tastes. Maybe they possess a chemistry yet unknown but could love ever bloom between the mismatched pair?,Comedy;Romance;Shoujo,2007-04-07,24,356826,259,415,8.13,https://cdn.myanimelist.net/images/anime/11/75563.jpg,https://myanimelist.net/anime/2034/Lovely%E2%98%85Complex
237,Koukyoushihen Eureka Seven,In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate hoping to find some adventure to brighten up his mundane life. However stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air an activity akin to surfing. Everything changes when an unknown object crashes through Renton's garage discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka a member of the Gekkostate who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash.,Adventure;Drama;Mecha;Romance;Sci-Fi,2005-04-17,50,345393,272,414,8.13,https://cdn.myanimelist.net/images/anime/12/34443.jpg,https://myanimelist.net/anime/237/Koukyoushihen_Eureka_Seven
33206,Kobayashi-san Chi no Maid Dragon,As Kobayashi sets off for another day at work she opens her apartment door only to be met by an unusually frightening sight—the head of a dragon staring at her from across the balcony. The dragon immediately transforms into a cute busty and energetic young girl dressed in a maid outfit introducing herself as Tooru. It turns out that the stoic programmer had come across the dragon the previous night on a drunken excursion to the mountains and since the mythical beast had nowhere else to go she had offered the creature a place to stay in her home. Thus Tooru had arrived to cash in on the offer ready to repay her savior's kindness by working as her personal maidservant. Though deeply regretful of her words and hesitant to follow through on her promise a mix of guilt and Tooru's incredible dragon abilities convinces Kobayashi to take the girl in. Despite being extremely efficient at her job the maid's unorthodox methods of housekeeping often end up horrifying Kobayashi and at times bring more trouble than help. Furthermore the circumstances behind the dragon's arrival on Earth seem to be much more complicated than at first glance as Tooru bears some heavy emotions and painful memories. To top it all off Tooru's presence ends up attracting several other mythical beings to her new home bringing in a host of eccentric personalities. Although Kobayashi makes her best effort to handle the crazy situation that she has found herself in nothing has prepared her for this new life with a dragon maid.,Slice of Life;Comedy;Fantasy,2017-01-12,13,533709,119,412,8.13,https://cdn.myanimelist.net/images/anime/5/85434.jpg,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon
25013,Akatsuki no Yona,Princess Yona lives a life of luxury and ease completely sheltered from the problems of the seemingly peaceful Kingdom of Kouka however the sudden murder of the king and betrayal of her beloved cousin Su-won places Yona's life in mortal peril. Forced to escape only with Son Hak who is both her childhood friend and bodyguard the naïve princess soon discovers that Kouka is not the idyllic place she envisioned it to be. Poverty strife and corruption run rampant making reclaiming the throne nothing more than a wishful fantasy given the kingdom's current state. Based on the popular manga of the same name by Mizuho Kusanagi Akatsuki no Yona follows Princess Yona on a coming-of-age adventure as she faces the harsh realities of her kingdom. With only a mysterious legend to guide her Yona must discover a way to restore Kouka to its former glory while being pursued relentlessly by the forces of the new King of Kouka.,Action;Adventure;Comedy;Fantasy;Romance;Shoujo,2014-10-07,24,441757,174,409,8.13,https://cdn.myanimelist.net/images/anime/9/64225.jpg,https://myanimelist.net/anime/25013/Akatsuki_no_Yona
12189,Hyouka,Energy-conservative high school student Houtarou Oreki ends up with more than he bargained for when he signs up for the Classics Club at his sister's behest—especially when he realizes how deep-rooted the club's history really is. Begrudgingly Oreki is dragged into an investigation concerning the 45-year-old mystery that surrounds the club room. Accompanied by his fellow club members the knowledgeable Satoshi Fukube the stern but benign Mayaka Ibara and the ever-curious Eru Chitanda Oreki must combat deadlines and lack of information with resourcefulness and hidden talent in order to not only find the truth buried beneath the dust of works created years before them but of other small side cases as well. Based on the award-winning Koten-bu light novel series and directed by Yasuhiro Takemoto of Suzumiya Haruhi no Shoushitsu  Hyouka shows that normal life can be full of small mysteries be it family history a student film or even the withered flowers that make up a ghost story.,Mystery;School;Slice of Life,2012-04-23,22,686099,72,390,8.15,https://cdn.myanimelist.net/images/anime/13/50521.jpg,https://myanimelist.net/anime/12189/Hyouka
7054,Kaichou wa Maid-sama!,Being the first female student council president isn't easy especially when your school just transitioned from an all boys high school to a co-ed one. Aptly nicknamed Demon President by the boys for her strict disciplinary style Misaki Ayuzawa is not afraid to use her mastery of Aikido techniques to cast judgment onto the hordes of misbehaving boys and defend the girls at Seika High School. Yet even the perfect Ayuzawa has an embarrassing secret—she works part-time as a maid at a maid café to help her struggling family pay the bills. She has managed to keep her job hidden from her fellow students and maintained her flawless image as a stellar student until one day Takumi Usui the most popular boy in school walks into the maid café. He could destroy her reputation with her secret... or he could twist the student council president around his little finger and use her secret as an opportunity to get closer to her.,Comedy;Romance;School;Shoujo,2010-04-02,26,653345,79,392,8.15,https://cdn.myanimelist.net/images/anime/6/25254.jpg,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama
5681,Summer Wars,OZ a virtual world connected to the internet has become extremely popular worldwide as a spot for people to engage in a large variety of activities such as playing sports or shopping through avatars created and customized by the dominio.controladores.clases.atribut.user. OZ also possesses a near impenetrable security due to its strong encryption ensuring that any personal data transmitted through the networks will be kept safe in order to protect those who use it. Because of its convenient applications the majority of society has become highly dependent on the simulated reality even going as far as entrusting the system with bringing back the unmanned asteroid explorer Arawashi. Kenji Koiso is a 17-year-old math genius and part-time OZ moderator who is invited by his crush Natsuki Shinohara on a summer trip. But unbeknownst to him this adventure requires him to act as her fiancé. Shortly after arriving at Natsuki's family's estate which is preparing for her great-grandmother's 90th birthday he receives a strange coded message on his cell phone from an unknown sender who challenges him to solve it. Kenji is able to crack the code but little does he know that his math expertise has just put Earth in great danger.,Sci-Fi;Comedy,2009-08-01,1,360868,253,382,8.16,https://cdn.myanimelist.net/images/anime/10/15796.jpg,https://myanimelist.net/anime/5681/Summer_Wars
14513,Magi: The Labyrinth of Magic,Dispersed around the world there are several bizarre labyrinths hiding incredible treasures within them. These mysterious places known as Dungeons are said to be the work of Magi a class of rare magicians who also help people build their empires by guiding them to a dungeon. Djinns supernatural beings that rule over the labyrinths grant successful conquerors access to their immense power and choose them as potential king candidates to rule the world. Having spent life in isolation Aladdin a kind and young magician is eager to explore the world upon finally leaving his home behind. He begins his journey only accompanied by his mentor Ugo—a djinn that Aladdin can summon with his flute. However Aladdin soon becomes friends with the courageous Alibaba Saluja after causing the destruction of a local merchant's supply cart. In order to pay for the damages Alibaba suggests that they attempt to conquer the nearest dungeon taking the first step in an epic adventure that will decide the fate of the world itself.,Action;Adventure;Fantasy;Magic;Shounen,2012-10-07,25,599813,94,378,8.16,https://cdn.myanimelist.net/images/anime/11/42773.jpg,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
18679,Kill la Kill,After the murder of her father Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead—the missing half of his invention the Scissor Blade—she arrives at the prestigious Honnouji Academy a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings the Elite Four. In the school's brutally competitive hierarchy Satsuki bestows upon those at the top special clothes called Goku Uniforms which grant the wearer unique superhuman abilities. Thoroughly beaten in a fight against one of the students in uniform Ryuuko retreats to her razed home where she stumbles across Senketsu a rare and sentient Kamui or God Clothes. After coming into contact with Ryuuko's blood Senketsu awakens latching onto her and providing her with immense power. Now armed with Senketsu and the Scissor Blade Ryuuko makes a stand against the Elite Four hoping to reach Satsuki and uncover the culprit behind her father's murder once and for all.,Action;Comedy;Super Power;Ecchi;School,2013-10-04,24,980779,30,375,8.16,https://cdn.myanimelist.net/images/anime/8/75514.jpg,https://myanimelist.net/anime/18679/Kill_la_Kill
